Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,DoubleChoice,Total
언어와 매체,6(25.0%),20.1,4(16.7%),13.8,4(16.7%),12.8,5(20.8%),16.6,5(20.8%),16.7,0(0.0%),24
AP 세계사,4(20.0%),12.3,5(25.0%),16.7,3(15.0%),10.0,4(20.0%),11.8,4(20.0%),14.2,0(0.0%),20
수학Ⅱ,2(12.5%),8.3,2(12.5%),8.6,5(31.2%),22.3,4(25.0%),17.3,3(18.8%),13.5,0(0.0%),16
심화 수학Ⅰ,2(13.3%),5.4,2(13.3%),6.1,6(40.0%),21.8,4(26.7%),13.3,1(6.7%),3.4,0(0.0%),15
통계 활용 빅데이터 분석,6(20.0%),19.8,6(20.0%),19.1,6(20.0%),20.0,6(20.0%),19.8,6(20.0%),21.3,0(0.0%),30
국제법,9(60.0%),18.0,6(40.0%),12.0,0(0.0%),0,0(0.0%),0,0(0.0%),0,0(0.0%),15
현대사회와 철학,7(31.8%),7.0,14(63.6%),14.0,0(0.0%),0,0(0.0%),0,1(4.5%),2.0,0(0.0%),22
영미문학Ⅱ,3(21.4%),8.0,2(14.3%),9.0,3(21.4%),9.0,3(21.4%),12.0,3(21.4%),12.0,0(0.0%),14
선형대수학,3(21.4%),15.1,3(21.4%),15.0,3(21.4%),15.4,3(21.4%),15.2,2(14.3%),9.3,0(0.0%),14
확률과 통계,2(12.5%),8.0,3(18.8%),11.5,4(25.0%),14.5,4(25.0%),16.0,3(18.8%),10.0,0(0.0%),16
AP 거시경제,2(12.5%),8.0,3(18.8%),10.2,3(18.8%),11.2,4(25.0%),15.3,4(25.0%),15.3,0(0.0%),16
경제,5(27.8%),19.5,4(22.2%),15.7,4(22.2%),14.9,2(11.1%),7.6,3(16.7%),12.3,0(0.0%),18
AP 화학 Ⅱ,3(10.7%),9.0,7(25.0%),20.5,5(17.9%),13.0,7(25.0%),19.5,4(14.3%),12.5,2(7.1%),28
독서와 사고,3(15.0%),15.6,4(20.0%),20.0,3(15.0%),13.6,4(20.0%),19.6,6(30.0%),31.2,0(0.0%),20
세계지리,3(15.0%),9.8,4(20.0%),12.4,4(20.0%),13.1,4(20.0%),13.1,5(25.0%),16.6,0(0.0%),20
심화 영어 독해Ⅱ,3(18.8%),10.0,4(25.0%),16.0,2(12.5%),8.0,4(25.0%),15.0,3(18.8%),11.0,0(0.0%),16
영어 독해와 작문,4(20.0%),12.0,4(20.0%),12.0,4(20.0%),12.0,4(20.0%),12.0,4(20.0%),12.0,0(0.0%),20
AP 컴퓨터과학 A,2(14.3%),6.7,3(21.4%),11.0,2(14.3%),6.9,3(21.4%),10.7,4(28.6%),14.7,0(0.0%),14
AP 생물학Ⅱ,3(15.0%),7.4,3(15.0%),7.4,4(20.0%),10.6,6(30.0%),14.5,4(20.0%),10.1,0(0.0%),20
문학,6(25.0%),17.8,4(16.7%),11.7,6(25.0%),17.6,4(16.7%),11.9,4(16.7%),11.0,0(0.0%),24
심화 수학Ⅱ,5(27.8%),19.5,5(27.8%),21.5,3(16.7%),11.5,3(16.7%),9.5,2(11.1%),8.0,0(0.0%),18
