Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,DoubleChoice,Total
심화국어,3(16.7%),10.2,4(22.2%),12.8,5(27.8%),16.3,3(16.7%),10.4,3(16.7%),10.3,0(0.0%),18
고전읽기,2(11.1%),8.6,3(16.7%),13.6,3(16.7%),13.2,4(22.2%),17.8,6(33.3%),26.8,0(0.0%),18
수학세미나1,3(42.9%),12.7,0(0.0%),0,2(28.6%),8.9,1(14.3%),4.2,1(14.3%),4.2,0(0.0%),7
수학과제연구,0(0.0%),0,3(50.0%),15.0,0(0.0%),0,2(33.3%),10.0,1(16.7%),5.0,0(0.0%),6
통합수학1,3(15.0%),15.5,5(25.0%),25.4,5(25.0%),24.4,3(15.0%),13.4,3(15.0%),15.4,1(5.0%),20
응용수학탐구,2(14.3%),11.0,3(21.4%),14.0,3(21.4%),15.0,3(21.4%),15.0,3(21.4%),15.0,0(0.0%),14
심화영어1,5(20.8%),16.5,4(16.7%),12.5,5(20.8%),17.0,5(20.8%),17.5,5(20.8%),16.5,0(0.0%),24
영어 비평적 읽기와 쓰기,4(26.7%),12.0,4(26.7%),12.0,2(13.3%),6.0,2(13.3%),6.0,3(20.0%),9.0,0(0.0%),15
시사영어,1(6.2%),4.0,3(18.8%),13.0,5(31.2%),22.0,5(31.2%),22.5,2(12.5%),8.5,0(0.0%),16
사회문화,4(16.0%),12.0,6(24.0%),16.8,6(24.0%),24.3,5(20.0%),20.0,4(16.0%),16.9,0(0.0%),25
생활과 윤리,4(16.0%),9.3,6(24.0%),14.4,5(20.0%),12.6,5(20.0%),12.5,5(20.0%),11.2,0(0.0%),25
국제경제,5(20.0%),11.6,9(36.0%),24.1,2(8.0%),8.1,6(24.0%),23.8,3(12.0%),12.4,0(0.0%),25
지역이해,3(15.0%),9.8,5(25.0%),16.7,4(20.0%),14.3,5(25.0%),14.1,3(15.0%),10.1,0(0.0%),20
비교문화,2(25.0%),7.7,3(37.5%),11.2,1(12.5%),3.4,1(12.5%),4.0,1(12.5%),3.7,0(0.0%),8
AP세계사,4(20.0%),12.9,4(20.0%),13.0,4(20.0%),13.7,3(15.0%),9.0,5(25.0%),16.4,0(0.0%),20
고급생명과학,3(15.0%),8.8,6(30.0%),19.9,5(25.0%),15.2,3(15.0%),8.1,3(15.0%),8.0,0(0.0%),20
자료구조와 알고리즘,2(20.0%),10.1,2(20.0%),9.9,2(20.0%),10.3,2(20.0%),10.0,2(20.0%),9.7,0(0.0%),10
응용물리학 탐구,4(20.0%),14.0,6(30.0%),17.0,3(15.0%),8.0,3(15.0%),8.0,4(20.0%),13.0,0(0.0%),20
응용화학 탐구,4(26.7%),21.3,0(0.0%),0,3(20.0%),14.3,4(26.7%),19.3,4(26.7%),20.1,0(0.0%),15
응용생명과학 탐구,3(15.0%),12.0,6(30.0%),24.9,5(25.0%),18.4,3(15.0%),12.2,3(15.0%),12.5,0(0.0%),20
응용지구과학탐구,4(16.7%),12.9,5(20.8%),16.3,4(16.7%),13.3,5(20.8%),16.4,6(25.0%),21.1,0(0.0%),24
에너지환경과학,4(25.0%),20.0,2(12.5%),10.0,3(18.8%),15.0,3(18.8%),15.0,4(25.0%),20.0,0(0.0%),16
전산물리학,5(20.0%),19.6,6(24.0%),24.2,4(16.0%),16.5,6(24.0%),24.0,4(16.0%),15.7,0(0.0%),25
현대문학 감상,7(70.0%),36.0,3(30.0%),14.0,0(0.0%),0,0(0.0%),0,0(0.0%),0,0(0.0%),10
일본 문화,4(20.0%),14.5,3(15.0%),10.2,4(20.0%),14.4,3(15.0%),10.0,5(25.0%),17.4,1(5.0%),20
중국 언어와 문화,5(33.3%),24.1,2(13.3%),8.8,2(13.3%),10.1,2(13.3%),8.4,4(26.7%),18.6,0(0.0%),15
