Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,DoubleChoice,Total
화법과작문,0(0.0%),0,0(0.0%),0,3(30.0%),14.6,4(40.0%),20.4,3(30.0%),15.0,0(0.0%),10
문학,3(12.5%),8.3,4(16.7%),11.9,6(25.0%),17.0,7(29.2%),20.8,4(16.7%),12.0,0(0.0%),24
독서와사고,0(0.0%),0,1(25.0%),11.8,1(25.0%),12.2,0(0.0%),0,2(50.0%),26.0,0(0.0%),4
수학1,2(12.5%),8.5,4(25.0%),18.0,4(25.0%),17.8,4(25.0%),16.8,2(12.5%),8.9,0(0.0%),16
확률과통계,1(7.7%),3.0,3(23.1%),11.5,4(30.8%),16.0,3(23.1%),12.0,2(15.4%),7.5,0(0.0%),13
기하,2(14.3%),7.5,2(14.3%),8.0,3(21.4%),9.5,4(28.6%),15.0,3(21.4%),10.0,0(0.0%),14
심화수학1,3(16.7%),9.0,3(16.7%),11.9,5(27.8%),21.4,4(22.2%),14.6,3(16.7%),13.1,0(0.0%),18
고급이산수학,0(0.0%),0,2(18.2%),8.6,2(18.2%),9.4,3(27.3%),13.5,4(36.4%),18.5,0(0.0%),11
영어1,3(15.0%),9.0,4(20.0%),12.0,4(20.0%),12.0,5(25.0%),15.0,4(20.0%),12.0,0(0.0%),20
심화영어독해1,3(15.0%),9.0,4(20.0%),12.0,3(15.0%),9.0,4(20.0%),12.0,6(30.0%),18.0,0(0.0%),20
영미문학1,3(25.0%),14.0,2(16.7%),6.0,2(16.7%),7.0,3(25.0%),15.0,2(16.7%),8.0,0(0.0%),12
세계지리,4(20.0%),12.4,4(20.0%),14.3,4(20.0%),11.8,4(20.0%),13.4,4(20.0%),13.1,0(0.0%),20
세계사,7(29.2%),19.5,6(25.0%),15.5,5(20.8%),14.0,4(16.7%),10.6,2(8.3%),5.4,0(0.0%),24
경제,5(27.8%),19.7,7(38.9%),28.0,1(5.6%),3.6,2(11.1%),6.8,3(16.7%),11.9,0(0.0%),18
정치와법,3(18.8%),10.4,4(25.0%),15.7,2(12.5%),7.6,3(18.8%),10.2,4(25.0%),16.1,0(0.0%),16
윤리와사상,4(18.2%),8.8,5(22.7%),11.3,3(13.6%),6.7,5(22.7%),11.5,5(22.7%),11.7,0(0.0%),22
AP미시경제,2(12.5%),8.0,3(18.8%),11.1,4(25.0%),15.1,4(25.0%),14.6,3(18.8%),11.2,0(0.0%),16
화학1,4(21.1%),17.2,3(15.8%),12.8,5(26.3%),21.0,4(21.1%),16.6,3(15.8%),12.4,0(0.0%),19
지구과학1,5(20.8%),12.9,4(16.7%),8.5,5(20.8%),12.8,5(20.8%),13.8,5(20.8%),12.0,0(0.0%),24
물리학2,5(29.4%),23.6,3(17.6%),13.7,3(17.6%),16.3,4(23.5%),16.0,2(11.8%),10.4,0(0.0%),17
프로그래밍,3(25.0%),12.7,3(25.0%),12.5,1(8.3%),4.1,3(25.0%),12.2,2(16.7%),8.5,0(0.0%),12
AP생물학,2(10.0%),5.5,6(30.0%),15.5,4(20.0%),9.0,4(20.0%),9.5,4(20.0%),10.5,0(0.0%),20
문학과매체,0(0.0%),0,0(0.0%),0,0(0.0%),0,2(66.7%),26.4,1(33.3%),13.6,0(0.0%),3
일본어문법,3(20.0%),8.8,2(13.3%),7.8,5(33.3%),16.4,1(6.7%),3.7,4(26.7%),13.3,0(0.0%),15
