Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,DoubleChoice,Total
통합사회,3(16.7%),11.0,3(16.7%),10.8,5(27.8%),17.4,3(16.7%),10.9,4(22.2%),14.9,0(0.0%),18
영어,4(19.0%),13.2,4(19.0%),13.0,4(19.0%),13.0,6(28.6%),20.6,3(14.3%),10.2,0(0.0%),21
한국사,3(12.5%),8.2,5(20.8%),14.0,2(8.3%),6.3,8(33.3%),21.1,6(25.0%),15.4,0(0.0%),24
물리학Ⅰ,4(19.0%),15.0,6(28.6%),23.1,4(19.0%),14.4,3(14.3%),11.1,4(19.0%),16.4,0(0.0%),21
생명과학Ⅰ,4(22.2%),13.6,3(16.7%),10.8,4(22.2%),13.9,3(16.7%),8.7,4(22.2%),13.0,0(0.0%),18
일본어Ⅰ,2(13.3%),6.8,4(26.7%),14.7,3(20.0%),10.0,3(20.0%),9.3,3(20.0%),9.2,0(0.0%),15
중국어Ⅰ,3(16.7%),11.1,4(22.2%),15.0,4(22.2%),16.2,3(16.7%),11.9,3(16.7%),11.9,1(5.6%),18
수학,2(12.5%),8.4,3(18.8%),13.5,3(18.8%),12.8,6(37.5%),25.8,2(12.5%),9.5,0(0.0%),16
국어,4(18.2%),16.7,5(22.7%),18.6,3(13.6%),11.9,6(27.3%),23.2,4(18.2%),14.6,0(0.0%),22
영어권 문화,2(11.8%),7.3,2(11.8%),7.5,4(23.5%),14.0,3(17.6%),10.0,6(35.3%),21.2,0(0.0%),17
영미 문학 읽기,4(19.0%),8.0,4(19.0%),10.0,4(19.0%),8.0,4(19.0%),11.0,5(23.8%),13.0,0(0.0%),21
프로그래밍기초,3(21.4%),9.9,0(0.0%),0,3(21.4%),11.1,5(35.7%),17.7,3(21.4%),11.3,0(0.0%),14
